Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Time Case Closed
1,2020-01-02,2020-01-01,01:11,Ahmedabad,576,IDENTITY THEFT,16,M,Blunt Object,Violent Crime,13,No,,
2,2020-01-01,2020-01-01,06:26,Chennai,128,HOMICIDE,37,M,Poison,Other Crime,9,No,,
3,2020-01-02,2020-01-01,14:30,Ludhiana,271,KIDNAPPING,48,F,Blunt Object,Other Crime,15,No,,
4,2020-01-01,2020-01-01,14:46,Pune,170,BURGLARY,49,F,Firearm,Other Crime,1,Yes,2020-04-29,05:00
5,2020-01-01,2020-01-01,16:51,Pune,421,VANDALISM,30,F,Other,Other Crime,18,Yes,2020-01-08,21:00
6,2020-01-02,2020-01-01,17:09,Delhi,442,ASSAULT,16,M,Firearm,Violent Crime,18,Yes,2020-03-30,03:00
7,2020-01-01,2020-01-01,14:08,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,Yes,2020-03-24,16:00
8,2020-01-02,2020-01-01,06:33,Chennai,169,COUNTERFEITING,78,X,Knife,Other Crime,8,No,,
9,2020-01-04,2020-01-01,06:34,Mumbai,338,EXTORTION,41,X,Blunt Object,Other Crime,1,No,,
10,2020-01-03,2020-01-01,17:50,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,Other Crime,4,No,,
11,2020-01-02,2020-01-01,19:42,Delhi,260,FRAUD,71,M,Explosives,Other Crime,5,Yes,2020-02-01,13:00
12,2020-01-03,2020-01-01,22:16,Surat,563,IDENTITY THEFT,26,M,Poison,Violent Crime,3,No,,
13,2020-01-01,2020-01-01,23:14,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,Yes,2020-02-29,16:00
14,2020-01-02,2020-01-01,17:46,Mumbai,436,ASSAULT,32,X,None,Violent Crime,18,No,,
15,2020-01-02,2020-01-01,22:28,Bangalore,266,SEXUAL ASSAULT,77,F,None,Violent Crime,19,No,,
16,2020-01-02,2020-01-01,18:54,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,16,Yes,2020-03-30,07:00
17,2020-01-03,2020-01-01,02:57,Ghaziabad,509,DRUG OFFENSE,61,M,Poison,Other Crime,6,No,,
18,2020-01-04,2020-01-01,23:09,Pune,342,ARSON,64,F,Other,Fire Accident,2,No,,
19,2020-01-02,2020-01-01,10:42,Bangalore,480,CYBERCRIME,11,M,None,Other Crime,3,Yes,2020-01-24,20:00
20,2020-01-03,2020-01-01,18:02,Bangalore,369,EXTORTION,62,F,Blunt Object,Other Crime,2,Yes,2020-03-05,18:00
21,2020-01-03,2020-01-01,02:33,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,Traffic Fatality,14,Yes,2020-01-22,22:00
22,2020-01-03,2020-01-01,10:11,Mumbai,374,VANDALISM,64,F,Other,Other Crime,15,Yes,2020-03-03,12:00
23,2020-01-02,2020-01-01,22:03,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,Other Crime,13,No,,
24,2020-01-03,2020-01-01,23:40,Chennai,322,VANDALISM,77,F,Other,Other Crime,18,No,,
25,2020-01-03,2020-01-02,20:47,Bangalore,527,DRUG OFFENSE,18,F,Other,Other Crime,1,No,,
26,2020-01-02,2020-01-02,08:21,Jaipur,282,ASSAULT,60,M,Firearm,Violent Crime,15,Yes,2020-03-12,16:00
27,2020-01-02,2020-01-02,04:02,Pune,247,IDENTITY THEFT,49,M,Blunt Object,Violent Crime,13,No,,
28,2020-01-02,2020-01-02,20:11,Lucknow,489,PUBLIC INTOXICATION,41,F,None,Other Crime,7,No,,
29,2020-01-04,2020-01-02,19:56,Bangalore,387,VANDALISM,33,F,Explosives,Other Crime,19,No,,
30,2020-01-04,2020-01-02,09:35,Bhopal,517,BURGLARY,37,F,None,Other Crime,4,No,,
31,2020-01-03,2020-01-02,13:06,Bhopal,570,HOMICIDE,32,F,Explosives,Other Crime,13,No,,
32,2020-01-04,2020-01-02,15:05,Hyderabad,222,VANDALISM,60,M,Knife,Other Crime,3,Yes,2020-03-18,13:00
33,2020-01-03,2020-01-02,03:01,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,Other Crime,19,No,,
34,2020-01-05,2020-01-02,02:40,Patna,575,VEHICLE - STOLEN,24,F,Explosives,Violent Crime,6,No,,
35,2020-01-04,2020-01-02,22:18,Kanpur,341,VANDALISM,34,F,Other,Other Crime,14,No,,
36,2020-01-04,2020-01-02,17:48,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,11,No,,
37,2020-01-03,2020-01-02,00:18,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,9,Yes,2020-07-02,05:00
